,Makupproduct_Name,Rate
0,Lakmé Invisible Finish SPF 8 Foundation,₹179
1,Lakmé Absolute Blur Perfect Primer  - 30 g,₹425
2,Lakmé Face It Compact Marble Compact,₹102
3,Lakmé Sun Expert Ultra Matte SPF40 PA+++ 1 units Compac...,₹130
4,Lakmé 9 to 5 Naturale Aloe Aqua Gel Primer  - 50 g,₹97
5,"MAYBELLINE NEW YORK Fit Me Shade 230 Compact Powder, 8g...",₹130
6,"MAYBELLINE NEW YORK Fit Me Shade 128 Compact Powder, 8g...",₹155
7,Marie Claire Paris SPF 45 Matte Compact,₹136
8,Lakmé Perfect Radiance Compact,₹159
9,Lakmé 9 to 5 Complexion Care Face Cream - Bronze Founda...,₹193
10,Lakmé 9 to 5 Complexion Care Face Cream - Beige Foundat...,₹283
11,"Earth Rhythm Makeup Removal Reusable Cleansing Pads, Ea...",₹122
12,Lakmé Face It Compact Pearl Compact,₹107
13,"MAYBELLINE NEW YORK Fit Me Shade 115 Compact Powder, 8g...",₹155
14,Lakmé Perfecting Liquid Foundation,₹100
15,MAYBELLINE NEW YORK Instant Age Rewind Concealer,₹544
16,MAYBELLINE NEW YORK Fit Me Matte+Poreless Liquid Tube F...,₹198
17,Lakmé Face It Compact Coral Compact,₹112
18,SKINPLUS Waterproof Mushroom Head Cushion  Foundation,₹178
19,Quench Botanics Mon Cherry Dirt Dissolving Cleansing Ba...,₹299
20,Lakmé Absolute Blur Perfect Makeup  Primer  - 10 g,₹209
21,Lakmé 9 to 5 Complexion Care CC Cream Foundation,₹269
22,Lakmé Invisible Finish SPF 8 Foundation,₹153
23,Marie Claire Paris Matte Set Glow Compact,₹136
24,"Dabur Gulabari Rose Glow face Cleanser : Cleanse , Mois...",₹137
25,"GARNIER Skin Naturals, Micellar Oil-Infused Cleansing W...",₹132
26,M.A.R.S 5 Function Make-up Base Face  Primer  - 30 ml,₹219
27,Marie Claire Paris Matte Set Glow Compact,₹136
28,Lakmé Face It Compact Shell Compact,₹110
29,"MAYBELLINE NEW YORK Fit Me Compact Powder - 310, 8 g (P...",₹210
30,FACES CANADA Weightless Matte Oil Control Compact with ...,₹100
31,Flemmi Fashion Makeup kit Mini+Hellokotty 5 peice Brush...,₹170
32,"GARNIER Skin Naturals, Micellar Cleansing Water Makeup ...",₹118
33,M.A.R.S 3in1 Matte Compact Powder Compact,₹209
34,MARS 4 Shade Illuminating Glow Brick Highlighter Palett...,₹159
35,MAYBELLINE NEW YORK Fit Me Matte Plus Poreless Powder C...,₹414
36,SWISS BEAUTY LIQUID CONCEALER SB-1505 05-Medium-Moyen C...,₹103
37,NYN HUDA Waterproof Concealer BB and CC Cream  Foundati...,₹205
38,M.A.R.S 5 Color Matte Finish Waterproof Contour Palette...,₹159
39,Shryoan Contour & Highlighter Shading Powder Highlighte...,₹239
